Country,Year,PM25
CL,2015,74.44374086702386
CL,2016,76.96117867165576
CL,2017,65.63532008830022
CL,2018,66.59129213483146
CL,2019,60.18870181405896
CL,2020,58.72275546388768
CL,2021,63.63619578266089
CN,2015,120.76865899602892
CN,2016,112.75734077750207
CN,2017,113.50736346901206
CN,2018,107.53736240474174
CN,2019,95.978018836403
CN,2020,87.21155082939504
CN,2021,83.81861339218787
CO,2015,74.10697674418604
CO,2016,86.35964912280701
CO,2017,69.51641791044776
CO,2018,65.94277108433735
CO,2019,58.59779776015373
CO,2020,58.06377551020408
CO,2021,54.478048142333854
CR,2019,26.09090909090909
CR,2020,34.62726570891515
CR,2021,29.713185917483475
CW,2019,37.63310606060606
CW,2020,38.79925737990296
CW,2021,30.29512195121951
CY,2015,49.645348837209305
CY,2016,59.48351648351648
CY,2017,60.12698412698413
CY,2018,54.48351648351648
CY,2019,63.89861329147043
CY,2020,57.35950978329477
CY,2021,55.90300917158008
CZ,2015,65.55991516436903
CZ,2016,59.11720430107527
CZ,2017,67.47301587301587
CZ,2018,68.37802197802198
CZ,2019,51.371300792231025
CZ,2020,46.17570895981488
CZ,2021,49.84149659863945
DE,2015,49.03439153439153
DE,2016,45.57412398921833
DE,2017,50.57142857142857
DE,2018,52.7331240188383
DE,2019,38.52681128371284
DE,2020,34.0012075758879
DE,2021,36.88658998067292
DK,2015,47.920212765957444
DK,2016,44.027027027027025
DK,2017,46.345238095238095
DK,2018,47.361111111111114
DK,2019,36.27026901669758
DK,2020,34.204719387755105
DK,2021,33.25381338102251
DZ,2019,68.57259914979146
DZ,2020,65.16156832298137
DZ,2021,66.28003329918033
EC,2015,51.05172413793103
EC,2016,57.675977653631286
EC,2017,58.61497326203209
EC,2018,61.19444444444444
EC,2019,55.346169653758935
EC,2020,49.833901865556584
EC,2021,51.65397407282052
EE,2017,24.88535031847134
EE,2018,33.81868131868132
EE,2019,19.447246661329622
EE,2020,17.924426020408163
EE,2021,23.51020408163265
ES,2015,37.48370408691154
ES,2016,30.332306111967128
ES,2017,37.739390316796175
